Country Code,Access to electricity (% of population),Battle-related deaths (number of people),Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),GDP per capita (constant 2015 US$),"Labor force participation rate, total (% of total population ages 15+) (national estimate)","Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total",Proportion of seats held by women in national parliaments (%),Income Group,Region
MRT,50.3,..,0.4077,1634.89897144624,..,68.484,31.1,5305,5022441,23.2954545454545,Lower middle income,Sub-Saharan Africa
MUS,100,..,0.0161,11348.4337725632,57.929,73.4121951219512,13.8,165,1248647,20,Upper middle income,Sub-Saharan Africa
MWI,15.6,..,0.2693,557.03523965791,..,67.353,38.4,25073,21104482,20.7253886010363,Low income,Sub-Saharan Africa
MYS,100,..,19.2129,11445.3925275079,..,76.657,6.9,2995,35126298,13.5135135135135,Upper middle income,East Asia & Pacific
NAC,100,..,188.3974,63053.7592640453,62.932050419447,78.7306687358934,5.4,21983,376954413,29.7016861219196,,North America
NAM,56.7,..,0.3667,3977.97779909619,..,67.385,38.3,2908,2963095,44.2307692307692,Lower middle income,Sub-Saharan Africa
NCL,100,..,0.035,..,59.288,78.766,..,..,289870,..,High income,East Asia & Pacific
NER,20.1,337,0.2023,557.572652727864,..,61.183,66.9,71392,26159867,..,Low income,Sub-Saharan Africa
NGA,61.2,2084,15.5679,2280.91931156115,82.559,54.462,70.1,517049,227882945,3.91061452513966,Lower middle income,Sub-Saharan Africa
NIC,88.3,..,0.3017,2241.12235476653,..,74.947,12,1592,6823613,51.6483516483517,Lower middle income,Latin America & Caribbean
NLD,100,..,10.5488,50960.7745021066,68.578,81.8634146341464,3.4,583,17877117,40,High income,Europe & Central Asia
NOR,100,..,7.0889,78775.7495154943,65.675,83.0121951219512,2,103,5519601,46.1538461538462,High income,Europe & Central Asia
NPL,94,..,2.1731,1136.42769313825,..,70.354,23.1,13295,29694614,33.0882352941176,Lower middle income,South Asia
NRU,100,..,0,8504.80065666726,..,62.109,8.2,3,11875,10.5263157894737,High income,East Asia & Pacific
NZL,100,..,2.4436,42573.2308423434,72.09,81.7585365853659,4.1,243,5200000,44.2622950819672,High income,East Asia & Pacific
OED,99.9229486259415,..,634.0583,40000.4208005086,61.0269514745376,80.1629177851037,6.05452960982658,84568,1387897706,32.8286373207661,,OECD members
OMN,100,..,14.7449,17853.9645119949,..,80.031,8.4,681,5049269,0,High income,Middle East & North Africa
OSS,94.4954692175265,..,3.9206,12349.4784075444,..,73.5849815358082,25.2972589405944,4993,12822134,24.3650047036689,,Other small states
PAK,95.6,1054,25.5772,1610.33122837537,..,67.649,49.7,338687,247504495,20.4678362573099,Lower middle income,Middle East & North Africa
PAN,97,..,0.3523,16877.1508423953,61.882,79.594,11.9,848,4458759,22.5352112676056,High income,Latin America & Caribbean
PER,96.2,..,5.7292,6568.0002779793,72.435,77.74,11.3,6098,33845617,38.7596899224806,Upper middle income,Latin America & Caribbean
PHL,98,243,12.4998,3744.69763802928,60.436,69.833,22,40300,114891199,27.3311897106109,Lower middle income,East Asia & Pacific
PLW,100,..,0.0004,13128.1314312511,67.122,69.269,19,4,17727,6.25,High income,East Asia & Pacific
PNG,20.5,..,0.133,2515.29070398356,..,66.134,32.2,8190,10389635,2.7027027027027,Lower middle income,East Asia & Pacific
POL,100,..,16.9507,17410.3830137066,58.842,78.2585365853659,3.7,1155,36687353,29.3478260869565,High income,Europe & Central Asia
PRE,52.5309883201788,20063,61.9973,1429.95200849228,..,62.163638519596,49.8404360616042,1814454,1078224044,25.1482799525504,,Pre-demographic dividend
PRI,100,..,0.1445,30012.9242468103,..,81.69,..,..,3203792,..,High income,Latin America & Caribbean
PRK,57.5,..,2.9534,..,..,73.642,14.5,4989,26418204,17.6128093158661,Low income,East Asia & Pacific
PRT,100,..,3.8731,22417.1615864385,58.687,82.3292682926829,2.7,229,10578174,36.0869565217391,High income,Europe & Central Asia
PRY,99.8,..,0.6212,6449.23028812969,70.661,73.844,15,2053,6844146,22.5,Upper middle income,Latin America & Caribbean
PSE,100,..,..,2888.76306072177,..,65.17,16.8,2455,5165775,..,Lower middle income,Middle East & North Africa
PSS,88.8705713618501,..,0.0569,3839.58128039956,..,69.2745949035856,19.0789703343776,1191,2689224,8.63874345549739,,Pacific island small states
PST,100,..,521.0829,46034.0212973547,61.4518257723852,80.8341681111503,4.10730733839087,40530,1121315547,33.5226639937632,,Post-demographic dividend
PYF,100,..,0.0022,20664.9770259225,..,84.07,..,..,281118,..,High income,East Asia & Pacific
QAT,100,..,15.772,65337.9507645329,..,82.368,4.9,144,2656032,4.44444444444444,High income,Middle East & North Africa
ROU,100,..,7.0781,12340.8170509969,51.471,76.4048780487805,5.6,1037,19061062,19.0909090909091,High income,Europe & Central Asia
RUS,100,197,109.8355,10562.0263671875,62.706,73.2546341463415,4.2,5560,143826130,16.4444444444445,High income,Europe & Central Asia
RWA,63.9,..,0.3945,1004.33216650024,63.664,67.785,30.1,11806,13954471,61.25,Low income,Sub-Saharan Africa
SAS,99.4087889697405,217,264.4413,2236.80860471582,56.174830797989,72.3247648783903,24.2,666681,1662580579,17.7206851119894,,South Asia
SAU,100,9,84.6338,25634.8237547841,66.6,78.732,4.8,2501,33702731,19.8675496688742,High income,Middle East & North Africa
SDN,66,5353,1.0306,677.723205566406,..,66.331,44,73013,50042791,..,Low income,Sub-Saharan Africa
SEN,74.2,..,3.1657,1458.96642332589,49.719,68.683,30,15724,18077573,46.0606060606061,Lower middle income,Sub-Saharan Africa
SGP,100,..,9.7965,66167.3596303607,68.564,83.0975609756098,2.1,98,5917648,29.126213592233,High income,East Asia & Pacific
SLB,81.3,..,0.0017,1795.88798697142,..,70.528,16.9,361,800005,8,Lower middle income,East Asia & Pacific
SLE,35.5,..,0.1532,1113.86837500697,..,61.786,56.3,14389,8460512,28.1879194630873,Low income,Sub-Saharan Africa
SLV,98.3,..,0.4232,4489.17787712717,61.957,72.099,9.2,911,6309624,27.3809523809524,Upper middle income,Latin America & Caribbean
SMR,100,..,..,51323.7972635865,..,85.706,1.3,0,33860,33.3333333333333,High income,Europe & Central Asia
SOM,50.3,3847,0.0316,464.721069525567,..,58.816,67.3,51965,18358615,19.7080291970803,Low income,Sub-Saharan Africa
SRB,100,..,..,8208.4786891507,58.243,76.1414634146341,4.5,275,6623183,34.8,Upper middle income,Europe & Central Asia
SSA,53.0069667981858,..,70.708,1653.54090063039,..,62.0653637736909,49.2828892635315,1824760,1131078494,26.2121400972205,,Sub-Saharan Africa (excluding high income)
